CSFCategoryID,CSFCategoryName,CSFCategoryDescription,CSFFunctionID
ID.AM,Asset Management,"The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization's risk strategy.",ID
ID.BE,Business Environment,"The organization's mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.",ID
ID.GV,Governance,"The policies, procedures, and processes to manage and monitor the organization's regulatory, legal, risk, environmental, and operational requirements are understood and inform the management of cybersecurity risk.",ID
ID.RA,Risk Assessment,"The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.",ID
ID.RM,Risk Management Strategy,"The organization's priorities, constraints, risk tolerances, and assumptions are established and used to support operational risk decisions.",ID
ID.SC,Supply Chain Risk Management,"The organization's priorities, constraints, risk tolerances, and assumptions are established and used to support risk decisions associated with managing supply chain risk. The organization has established and implemented the processes to identify, assess and manage supply chain risks.",ID
PR.AC,"Identity Management, Authentication and Access Control","Access to physical and logical assets and associated facilities is limited to authorized users, processes, and devices, and is managed consistent with the assessed risk of unauthorized access to authorized activities and transactions.",PR
PR.AT,Awareness and Training,"The organization's personnel and partners are provided cybersecurity awareness education and are trained to perform their cybersecurity-related duties and responsibilities consistent with related policies, procedures, and agreements.",PR
PR.DS,Data Security,"Information and records (data) are managed consistent with the organization's risk strategy to protect the confidentiality, integrity, and availability of information.",PR
PR.IP,Information Protection Processes and Procedures,"Security policies (that address purpose, scope, roles, responsibilities, management commitment, and coordination among organizational entities), processes, and procedures are maintained and used to manage protection of information systems and assets.",PR
PR.MA,Maintenance,Maintenance and repairs of industrial control and information system components are performed consistent with policies and procedures.,PR
PR.PT,Protective Technology,"Technical security solutions are managed to ensure the security and resilience of systems and assets, consistent with related policies, procedures, and agreements.",PR
DE.AE,Anomalies and Events,Anomalous activity is detected and the potential impact of events is understood.,DE
DE.CM,Security Continuous Monitoring,The information system and assets are monitored to identify cybersecurity events and verify the effectiveness of protective measures.,DE
DE.DP,Detection Processes,Detection processes and procedures are maintained and tested to ensure awareness of anomalous events.,DE
RS.RP,Response Planning,"Response processes and procedures are executed and maintained, to ensure response to detected cybersecurity incidents.",RC
RS.CO,Communications,Response activities are coordinated with internal and external stakeholders (e.g. external support from law enforcement agencies).,RC
RS.AN,Analysis,Analysis is conducted to ensure effective response and support recovery activities.,RC
RS.MI,Mitigation,"Activities are performed to prevent expansion of an event, mitigate its effects, and resolve the incident.",RC
RS.IM,Improvements,Organizational response activities are improved by incorporating lessons learned from current and previous detection/response activities.,RC
RC.RP,Recovery Planning,Recovery processes and procedures are executed and maintained to ensure restoration of systems or assets affected by cybersecurity incidents.,RS
RC.IM,Improvements,Recovery planning and processes are improved by incorporating lessons learned into future activities.,RS
RC.CO,Communications,"Restoration activities are coordinated with internal and external parties (e.g.  coordinating centers, Internet Service Providers, owners of attacking systems, victims, other CSIRTs, and vendors).",RS