CSFPFIndex,CSFSubcategoryID,PFSubcategoryID
1,ID.AM-1,ID.IM-P1
2,ID.AM-2,ID.IM-P1
3,ID.AM-1,ID.IM-P2
4,ID.AM-4,ID.IM-P2
5,ID.AM-1,ID.IM-P7
6,ID.AM-2,ID.IM-P7
7,ID.AM-4,ID.IM-P7
8,ID.AM-3,ID.IM-P8
9,ID.BE-1,ID.BE-P1
10,ID.BE-3,ID.BE-P2
11,ID.RA-4,ID.RA-P4
12,ID.RA-5,ID.RA-P4
13,ID.RA-6,ID.RA-P5
14,ID.SC-1,ID.DE-P1
15,ID.SC-2,ID.DE-P2
16,ID.SC-3,ID.DE-P3
17,ID.SC-4,ID.DE-P5
18,ID.GV-1,GV.PO-P1
19,ID.AM-6,GV.PO-P3
20,ID.GV-2,GV.PO-P4
21,ID.GV-3,GV.PO-P5
22,ID.GV-4,GV.PO-P6
23,ID.RM-1,GV.RM-P1
24,ID.RM-2,GV.RM-P2
25,ID.RM-3,GV.RM-P3
26,PR.AT-1,GV.AT-P1
27,PR.AT-2,GV.AT-P1
28,PR.AT-4,GV.AT-P2
29,PR.AT-5,GV.AT-P3
30,PR.AT-3,GV.AT-P4
31,PR.IP-2,CT.PO-P4
32,PR.IP-6,CT.DM-P5
33,PR.PT-1,CT.DM-P8
34,PR.IP-1,PR.PO-P1
35,PR.IP-3,PR.PO-P2
36,PR.IP-4,PR.PO-P3
37,PR.IP-5,PR.PO-P4
38,PR.IP-7,PR.PO-P5
39,PR.IP-8,PR.PO-P6
40,PR.IP-9,PR.PO-P7
41,PR.IP-10,PR.PO-P8
42,PR.IP-11,PR.PO-P9
43,PR.IP-12,PR.PO-P10
44,PR.AC-1,PR.AC-P1
45,PR.AC-2,PR.AC-P2
46,PR.AC-3,PR.AC-P3
47,PR.AC-4,PR.AC-P4
48,PR.AC-5,PR.AC-P5
49,PR.AC-6,PR.AC-P6
50,PR.AC-7,PR.AC-P6
51,PR.DS-1,PR.DS-P1
52,PR.DS-2,PR.DS-P2
53,PR.DS-3,PR.DS-P3
54,PR.DS-4,PR.DS-P4
55,PR.DS-5,PR.DS-P5
56,PR.DS-6,PR.DS-P6
57,PR.DS-7,PR.DS-P7
58,PR.DS-8,PR.DS-P8
59,PR.MA-2,PR.MA-P2
60,PR.PT-2,PR.PT-P1
61,PR.PT-3,PR.PT-P2
62,PR.PT-4,PR.PT-P3
63,PR.PT-5,PR.PT-P4