CSFRMFIndex,CSFSubcategoryID,RMFTaskID
1,ID.AM-6,P-1
2,ID.AM-6,P-10 
3,ID.AM-6,P-9
4,ID.AM-1,P-10 
5,ID.AM-1,P-9
6,ID.AM-1,C-2 
7,ID.AM-2,P-10 
8,ID.AM-2,P-9
9,ID.AM-2,C-2 
10,ID.AM-4,P-10 
11,ID.AM-4,P-13 
12,ID.AM-4,P-9
13,ID.AM-4,C-2 
14,ID.AM-3,P-10 
15,ID.AM-3,P-13 
16,ID.AM-3,P-9
17,ID.AM-3,C-2 
18,ID.AM-5,P-10 
19,ID.AM-5,P-12 
20,ID.AM-5,P-6 
21,ID.AM-5,P-9
22,ID.AM-5,C-2 
23,RS.AN-1,M-3 
24,RS.AN-2,M-3 
25,RS.AN-3,M-3 
26,RS.AN-4,M-3 
27,RS.AN-5,M-3 
28,ID.BE-1,P-8
29,ID.BE-1,P-9
30,ID.BE-3,P-8
31,ID.BE-3,P-9
32,ID.BE-2,P-8
33,ID.BE-2,P-9
34,ID.BE-4,P-8
35,ID.BE-4,P-9
36,ID.BE-5,P-8
37,ID.BE-5,P-9
38,DE.CM-1,P-7 
39,DE.CM-1,S-5 
40,DE.CM-1,M-1
41,DE.CM-2,P-7 
42,DE.CM-2,S-5 
43,DE.CM-2,M-1
44,DE.CM-3,P-7 
45,DE.CM-3,S-5 
46,DE.CM-3,M-1
47,DE.CM-4,P-7 
48,DE.CM-4,S-5 
49,DE.CM-4,M-1
50,DE.CM-5,P-7 
51,DE.CM-5,S-5 
52,DE.CM-5,M-1
53,DE.CM-6,P-7 
54,DE.CM-6,S-5 
55,DE.CM-6,M-1
56,DE.CM-7,P-7 
57,DE.CM-7,S-5 
58,DE.CM-7,M-1
59,DE.CM-8,P-7 
60,DE.CM-8,S-5 
61,DE.CM-8,M-1
62,ID.GV-1,P-15 
63,ID.GV-1,P-17 
64,ID.GV-1,P-18
65,ID.GV-1,P-8
66,ID.GV-1,S-5 
67,ID.GV-1,M-1
68,ID.GV-2,P-1
69,ID.GV-2,P-15 
70,ID.GV-2,P-17 
71,ID.GV-2,P-18
72,ID.GV-2,S-5 
73,ID.GV-2,M-1
74,ID.GV-3,P-15 
75,ID.GV-3,P-17 
76,ID.GV-3,P-18
77,ID.GV-3,S-5 
78,ID.GV-3,M-1
79,ID.GV-4,P-15 
80,ID.GV-4,P-17 
81,ID.GV-4,P-18
82,ID.GV-4,S-5 
83,ID.GV-4,M-1
84,RS.IM-1,M-4 
85,RS.IM-2,M-4 
86,PR.IP-6,P-15 
87,PR.IP-6,S-3 
88,PR.IP-2,P-15 
89,PR.IP-2,S-3 
90,PR.IP-2,I-1 
91,PR.IP-1,P-15 
92,PR.IP-1,S-3 
93,PR.IP-1,I-1 
94,PR.IP-1,I-2 
95,PR.IP-12,P-15 
96,PR.IP-12,S-3 
97,PR.IP-3,P-15 
98,PR.IP-3,S-3 
99,PR.IP-4,P-15 
100,PR.IP-4,S-3 
101,PR.IP-5,P-15 
102,PR.IP-5,S-3 
103,PR.IP-7,P-15 
104,PR.IP-7,S-3 
105,PR.IP-8,P-15 
106,PR.IP-8,S-3 
107,PR.IP-9,P-15 
108,PR.IP-9,S-3 
109,PR.IP-10,P-15 
110,PR.IP-10,S-3 
111,PR.IP-11,P-15 
112,PR.IP-11,S-3 
113,ID.RA-4,P-14 
114,ID.RA-4,P-3 
115,ID.RA-5,P-14 
116,ID.RA-5,P-14 
117,ID.RA-6,P-14 
118,ID.RA-6,P-3 
119,ID.RA-6,A-6 
120,ID.RA-6,R-3
121,ID.RA-1,P-14 
122,ID.RA-1,P-3 
123,ID.RA-2,P-14 
124,ID.RA-2,P-3 
125,ID.RA-3,P-14 
126,ID.RA-3,P-3 
127,ID.RM-1,P-2 
128,ID.RM-2,P-2 
129,ID.RM-3,P-2 
130,ID.SC-1,P-2 
131,ID.SC-1,P-3 
132,ID.SC-2,P-14 
133,ID.SC-2,P-2 
134,ID.SC-3,P-2 
135,ID.SC-4,P-2 
136,ID.SC-4,P-7 
137,ID.SC-4,M-2 
138,ID.SC-5,P-2 