PFCategoryID,PFCategoryName,PFCategoryDescription,PFFunctionID
ID.IM-P,Inventory and Mapping,"Data processing by systems, products, or services is understood and informs the management of privacy risk.",ID-P
ID.BE-P,Business Environment,"The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform privacy roles, responsibilities, and risk management decisions.",ID-P
ID.RA-P,Risk Assessment,"The organization understands the privacy risks to individuals and how such privacy risks may create follow-on impacts on organizational operations, including mission, functions, other risk management priorities (e.g., compliance, financial), reputation, workforce, and culture.",ID-P
ID.DE-P,Data Processing Ecosystem Risk Management,"The organization’s priorities, constraints, risk tolerance, and assumptions are established and used to support risk decisions associated with managing privacy risk and third parties within the data processing ecosystem. The organization has established and implemented the processes to identify, assess, and manage privacy risks within the data processing ecosystem.",ID-P
GV.PO-P,"Governance Policies, Processes, and Procedures","The policies, processes, and procedures to manage and monitor the organization’s regulatory, legal, risk, environmental, and operational requirements are understood and inform the management of privacy risk.",GV-P
GV.RM-P,Risk Management Strategy,"The organization’s priorities, constraints, risk tolerances, and assumptions are established and used to support operational risk decisions.",GV-P
GV.AT-P,Awareness and Training,"The organization’s workforce and third parties engaged in data processing are provided privacy awareness education and are trained to perform their privacy-related duties and responsibilities consistent with related policies, processes, procedures, and agreements and organizational privacy values.",GV-P
GV.MT-P,Monitoring and Review,"The policies, processes, and procedures for ongoing review of the organization’s privacy posture are understood and inform the management of privacy risk.",GV-P
CT.PO-P,"Data Processing Policies, Processes, and Procedures","Policies, processes, and procedures are maintained and used to manage data processing (e.g., purpose, scope, roles and responsibilities in the data processing ecosystem, and management commitment) consistent with the organization’s risk strategy to protect individuals’ privacy.",CT-P
CT.DM-P,Data Processing Management,"Data are managed consistent with the organization’s risk strategy to protect individuals’ privacy, increase manageability, and enable the implementation of privacy principles (e.g., individual participation, data quality, data minimization). ",CT-P
CT.DP-P,Disassociated Processing,"Data processing solutions increase disassociability consistent with the organization’s risk strategy to protect individuals’ privacy and enable implementation of privacy principles (e.g., data minimization).",CT-P
CM.PO-P,"Communication Policies, Processes, and Procedures","Policies, processes, and procedures are maintained and used to increase transparency of the organization’s data processing practices (e.g., purpose, scope, roles and responsibilities in the data processing ecosystem, and management commitment) and associated privacy risks.",CM-P
CM.AW-P,Data Processing Awareness,"Individuals and organizations have reliable knowledge about data processing practices and associated privacy risks, and effective mechanisms are used and maintained to increase predictability consistent with the organization’s risk strategy to protect individuals’ privacy. ",CM-P
PR.PO-P,"Data Protection Policies, Processes, and Procedures","Security and privacy policies (e.g., purpose, scope, roles and responsibilities in the data processing ecosystem, and management commitment), processes, and procedures are maintained and used to manage the protection of data.",PR-P
PR.AC-P,"Identity Management, Authentication, and Access Control ","Access to data and devices is limited to authorized individuals, processes, and devices, and is managed consistent with the assessed risk of unauthorized access.",PR-P
PR.DS-P,Data Security,"Data are managed consistent with the organization’s risk strategy to protect individuals’ privacy and maintain data confidentiality, integrity, and availability.",PR-P
PR.MA-P,Maintenance ,"System maintenance and repairs are performed consistent with policies, processes, and procedures.",PR-P
PR.PT-P,Protective Technology,"Technical security solutions are managed to ensure the security and resilience of systems/products/services and associated data, consistent with related policies, processes, procedures, and agreements.",PR-P