RMFTaskID,RMFTaskName,RMFTaskDescription,RMFTaskTier,RMFStepID
P-1,Risk Management Roles,Identify and assign individuals to specific roles associated with security and privacy risk management.,Organization,P
P-10 ,Asset Identification,Identify assets that require protection.,Information System,P
P-11 ,Authorization Boundary ,Determine the authorization boundary of the system.,Information System,P
P-12 ,Information Types,"Identify the types of information to be processed, stored, and transmitted by the system",Information System,P
P-13 ,Information Life Cycle,"Identify and understand all stages of the information life cycle for each information type processed, stored, or transmitted by the system.",Information System,P
P-14 ,Risk Assessment,Conduct a system-level risk assessment and update the risk assessment results on an ongoing basis.,Information System,P
P-15 ,Requirements Definition,Define the security and privacy requirements for the system and the environment of operation.,Information System,P
P-16 ,Enterprise Architecture,Determine the placement of the system within the enterprise architecture.,Information System,P
P-17 ,Requirements Allocation,Allocate security and privacy requirements to the system and to the environment of operation.,Information System,P
P-18,System Registration,Register the system with organizational program or management offices.,Information System,P
P-2 ,Risk Management Strategy,Establish a risk management strategy for the organization that includes a determination of risk tolerance.,Organization,P
P-3 ,Risk Assessment,Assess organization-wide security and privacy risk and update the risk assessment results on an ongoing basis.,Organization,P
P-4 ,Organizationally-Tailored Control Baselines And Cybersecurity Framework Profiles,"Establish, document, and publish org",Organization,P
P-5 ,Common Control Identification,"Identify, document, and publish organization-wide common controls that are available for inheritance by organizational systems.",Organization,P
P-6 ,Impact-Level Prioritization,Prioritize organizational systems with the same impact level.,Organization,P
P-7 ,Continuous Monitoring Strategy,Develop and implement an organization-wide strategy for continuously monitoring control effectiveness,Organization,P
P-8,Mission Or Business Focus,"Identify the missions, business functions, and mission/business processes that the system is intended to support.",Information System,P
P-9,System Stakeholders,"Identify stakeholders who have an interest in the design, development, implementation, assessment, operation, maintenance, or disposal of the system.",Information System,P
C-1 ,System Description ,Document the characteristics of the system.,,C
C-2 ,Security Categorization ,Categorize the system and document the security categorization results.,,C
C-3 ,Security Categorization Review And Approval,Review and approve the security categorization results and decision.,,C
S-1,Control Selection,Select the controls for the system and the environment of operation,,S
S-2,Control Tailoring,Tailor the controls selected for the system and the environment of operation,,S
S-3 ,Control Allocation,Allocate security and privacy controls to the system and to the environment of operation,,S
S-4 ,Documentation Of Planned Control Implementations,Document the controls for the system and environment of operation in security and privacy plans.,,S
S-5 ,Continuous Monitoring Strategy,Develop and implement a system-level strategy for monitoring control effectiveness that is consistent with and supplements the organizational continuous monitoring strategy.,,S
S-6 ,Plan Review And Approval,Review and approve the security and privacy plans for the system and the environment of operation.,,S
I-1 ,Control Implementation,Implement the controls in the security and privacy plans.,,I
I-2 ,Update Control Implementation Information,Document changes to planned control implementations based on the “as-implemented” state of controls,,I
A-1 ,Assessor Selection,Select the appropriate assessor or assessment team for the type of control assessment to be conducted.,,A
A-2 ,Assessment Plan,"Develop, review, and approve plans to assess implemented controls",,A
A-3 ,Control Assessments ,Assess the controls in accordance with the assessment procedures described in assessment plans.,,A
A-4 ,Assessment Reports ,Prepare the assessment reports documenting the findings and recommendations from the control assessments,,A
A-5 ,Remediation Actions,Conduct initial remediation actions on the controls and reassess remediated controls,,A
A-6 ,Plan Of Action And Milestones ,Prepare the plan of action and milestones based on the findings and recommendations of the assessment reports.,,A
R-1 ,Authorization Package ,Assemble the authorization package and submit the package to the authorizing official for an authorization decision.,,R
R-2 ,Risk Analysis And Determination ,Analyze and determine the risk from the operation or use of the system or the provision of common controls.,,R
R-3,Risk Response,Identify and implement a preferred course of action in response to the risk determined.,,R
R-4 ,Authorization Decision,Determine if the risk from the operation or use of the information system or the provision or use of common controls is acceptable.,,R
R-5 ,Authorization Reporting,Report the authorization decision and any deficiencies in controls that represent significant security or privacy risk.,,R
M-1,System And Environment Changes,Monitor the information system and its environment of operation for changes that impact the security and privacy posture of the system.,,M
M-2 ,Ongoing Assessments,Assess the controls implemented within and inherited by the system in accordance with the continuous monitoring strategy.,,M
M-3 ,Ongoing Risk Response,"Respond to risk based on the results of ongoing monitoring activities, risk assessments, and outstanding items in plans of action and milestones.",,M
M-4 ,Authorization Package Updates,"Update plans, assessment reports, and plans of action and milestones based on the results of the continuous monitoring process",,M
M-5 ,Security And Privacy Reporting,Report the security and privacy posture of the system to the authorizing official and other organizational officials on an ongoing basis in accordance with the organizational continuous monitoring strategy.,,M
M-6 ,Ongoing Authorization,Review the security and privacy posture of the system on an ongoing basis to determine whether the risk remains acceptable.,,M
M-7 ,System Disposal,Implement a system disposal strategy and execute required actions when a system is removed from operation.,,M