SP80053ControlDetailRelatedIndex,SP80053ControlDetailID,SP80053ControlID
1,AC-1.a.1.,PM-9
2,AC-1.a.2.,PM-9
3,AC-1.b.1.,PM-9
4,AC-1.b.2.,PM-9
5,AC-2a.,AC-3
6,AC-2b.,AC-3
7,AC-2c.,AC-3
8,AC-2d.,AC-3
9,AC-2e.,AC-3
10,AC-2f.,AC-3
11,AC-2g.,AC-3
12,AC-2h.1.,AC-3
13,AC-2h.2.,AC-3
14,AC-2h.3.,AC-3
15,AC-2i.1.,AC-3
16,AC-2i.2.,AC-3
17,AC-2i.3.,AC-3
18,AC-2j.,AC-3
19,AC-2k.,AC-3
20,AC-2a.,AC-4
21,AC-2b.,AC-4
22,AC-2c.,AC-4
23,AC-2d.,AC-4
24,AC-2e.,AC-4
25,AC-2f.,AC-4
26,AC-2g.,AC-4
27,AC-2h.1.,AC-4
28,AC-2h.2.,AC-4
29,AC-2h.3.,AC-4
30,AC-2i.1.,AC-4
31,AC-2i.2.,AC-4
32,AC-2i.3.,AC-4
33,AC-2j.,AC-4
34,AC-2k.,AC-4
35,AC-2a.,AC-5
36,AC-2b.,AC-5
37,AC-2c.,AC-5
38,AC-2d.,AC-5
39,AC-2e.,AC-5
40,AC-2f.,AC-5
41,AC-2g.,AC-5
42,AC-2h.1.,AC-5
43,AC-2h.2.,AC-5
44,AC-2h.3.,AC-5
45,AC-2i.1.,AC-5
46,AC-2i.2.,AC-5
47,AC-2i.3.,AC-5
48,AC-2j.,AC-5
49,AC-2k.,AC-5
50,AC-2a.,AC-6
51,AC-2b.,AC-6
52,AC-2c.,AC-6
53,AC-2d.,AC-6
54,AC-2e.,AC-6
55,AC-2f.,AC-6
56,AC-2g.,AC-6
57,AC-2h.1.,AC-6
58,AC-2h.2.,AC-6
59,AC-2h.3.,AC-6
60,AC-2i.1.,AC-6
61,AC-2i.2.,AC-6
62,AC-2i.3.,AC-6
63,AC-2j.,AC-6
64,AC-2k.,AC-6
65,AC-2a.,AC-10
66,AC-2b.,AC-10
67,AC-2c.,AC-10
68,AC-2d.,AC-10
69,AC-2e.,AC-10
70,AC-2f.,AC-10
71,AC-2g.,AC-10
72,AC-2h.1.,AC-10
73,AC-2h.2.,AC-10
74,AC-2h.3.,AC-10
75,AC-2i.1.,AC-10
76,AC-2i.2.,AC-10
77,AC-2i.3.,AC-10
78,AC-2j.,AC-10
79,AC-2k.,AC-10
80,AC-2a.,AC-17
81,AC-2b.,AC-17
82,AC-2c.,AC-17
83,AC-2d.,AC-17
84,AC-2e.,AC-17
85,AC-2f.,AC-17
86,AC-2g.,AC-17
87,AC-2h.1.,AC-17
88,AC-2h.2.,AC-17
89,AC-2h.3.,AC-17
90,AC-2i.1.,AC-17
91,AC-2i.2.,AC-17
92,AC-2i.3.,AC-17
93,AC-2j.,AC-17
94,AC-2k.,AC-17
95,AC-2a.,AC-19
96,AC-2b.,AC-19
97,AC-2c.,AC-19
98,AC-2d.,AC-19
99,AC-2e.,AC-19
100,AC-2f.,AC-19
101,AC-2g.,AC-19
102,AC-2h.1.,AC-19
103,AC-2h.2.,AC-19
104,AC-2h.3.,AC-19
105,AC-2i.1.,AC-19
106,AC-2i.2.,AC-19
107,AC-2i.3.,AC-19
108,AC-2j.,AC-19
109,AC-2k.,AC-19
110,AC-2a.,AC-20
111,AC-2b.,AC-20
112,AC-2c.,AC-20
113,AC-2d.,AC-20
114,AC-2e.,AC-20
115,AC-2f.,AC-20
116,AC-2g.,AC-20
117,AC-2h.1.,AC-20
118,AC-2h.2.,AC-20
119,AC-2h.3.,AC-20
120,AC-2i.1.,AC-20
121,AC-2i.2.,AC-20
122,AC-2i.3.,AC-20
123,AC-2j.,AC-20
124,AC-2k.,AC-20
125,AC-2a.,AU-9
126,AC-2b.,AU-9
127,AC-2c.,AU-9
128,AC-2d.,AU-9
129,AC-2e.,AU-9
130,AC-2f.,AU-9
131,AC-2g.,AU-9
132,AC-2h.1.,AU-9
133,AC-2h.2.,AU-9
134,AC-2h.3.,AU-9
135,AC-2i.1.,AU-9
136,AC-2i.2.,AU-9
137,AC-2i.3.,AU-9
138,AC-2j.,AU-9
139,AC-2k.,AU-9
140,AC-2a.,IA-2
141,AC-2b.,IA-2
142,AC-2c.,IA-2
143,AC-2d.,IA-2
144,AC-2e.,IA-2
145,AC-2f.,IA-2
146,AC-2g.,IA-2
147,AC-2h.1.,IA-2
148,AC-2h.2.,IA-2
149,AC-2h.3.,IA-2
150,AC-2i.1.,IA-2
151,AC-2i.2.,IA-2
152,AC-2i.3.,IA-2
153,AC-2j.,IA-2
154,AC-2k.,IA-2
155,AC-2a.,IA-4
156,AC-2b.,IA-4
157,AC-2c.,IA-4
158,AC-2d.,IA-4
159,AC-2e.,IA-4
160,AC-2f.,IA-4
161,AC-2g.,IA-4
162,AC-2h.1.,IA-4
163,AC-2h.2.,IA-4
164,AC-2h.3.,IA-4
165,AC-2i.1.,IA-4
166,AC-2i.2.,IA-4
167,AC-2i.3.,IA-4
168,AC-2j.,IA-4
169,AC-2k.,IA-4
170,AC-2a.,IA-5
171,AC-2b.,IA-5
172,AC-2c.,IA-5
173,AC-2d.,IA-5
174,AC-2e.,IA-5
175,AC-2f.,IA-5
176,AC-2g.,IA-5
177,AC-2h.1.,IA-5
178,AC-2h.2.,IA-5
179,AC-2h.3.,IA-5
180,AC-2i.1.,IA-5
181,AC-2i.2.,IA-5
182,AC-2i.3.,IA-5
183,AC-2j.,IA-5
184,AC-2k.,IA-5
185,AC-2a.,IA-8
186,AC-2b.,IA-8
187,AC-2c.,IA-8
188,AC-2d.,IA-8
189,AC-2e.,IA-8
190,AC-2f.,IA-8
191,AC-2g.,IA-8
192,AC-2h.1.,IA-8
193,AC-2h.2.,IA-8
194,AC-2h.3.,IA-8
195,AC-2i.1.,IA-8
196,AC-2i.2.,IA-8
197,AC-2i.3.,IA-8
198,AC-2j.,IA-8
199,AC-2k.,IA-8
200,AC-2a.,CM-5
201,AC-2b.,CM-5
202,AC-2c.,CM-5
203,AC-2d.,CM-5
204,AC-2e.,CM-5
205,AC-2f.,CM-5
206,AC-2g.,CM-5
207,AC-2h.1.,CM-5
208,AC-2h.2.,CM-5
209,AC-2h.3.,CM-5
210,AC-2i.1.,CM-5
211,AC-2i.2.,CM-5
212,AC-2i.3.,CM-5
213,AC-2j.,CM-5
214,AC-2k.,CM-5
215,AC-2a.,CM-6
216,AC-2b.,CM-6
217,AC-2c.,CM-6
218,AC-2d.,CM-6
219,AC-2e.,CM-6
220,AC-2f.,CM-6
221,AC-2g.,CM-6
222,AC-2h.1.,CM-6
223,AC-2h.2.,CM-6
224,AC-2h.3.,CM-6
225,AC-2i.1.,CM-6
226,AC-2i.2.,CM-6
227,AC-2i.3.,CM-6
228,AC-2j.,CM-6
229,AC-2k.,CM-6
230,AC-2a.,CM-11
231,AC-2b.,CM-11
232,AC-2c.,CM-11
233,AC-2d.,CM-11
234,AC-2e.,CM-11
235,AC-2f.,CM-11
236,AC-2g.,CM-11
237,AC-2h.1.,CM-11
238,AC-2h.2.,CM-11
239,AC-2h.3.,CM-11
240,AC-2i.1.,CM-11
241,AC-2i.2.,CM-11
242,AC-2i.3.,CM-11
243,AC-2j.,CM-11
244,AC-2k.,CM-11
245,AC-2a.,MA-3
246,AC-2b.,MA-3
247,AC-2c.,MA-3
248,AC-2d.,MA-3
249,AC-2e.,MA-3
250,AC-2f.,MA-3
251,AC-2g.,MA-3
252,AC-2h.1.,MA-3
253,AC-2h.2.,MA-3
254,AC-2h.3.,MA-3
255,AC-2i.1.,MA-3
256,AC-2i.2.,MA-3
257,AC-2i.3.,MA-3
258,AC-2j.,MA-3
259,AC-2k.,MA-3
260,AC-2a.,MA-4
261,AC-2b.,MA-4
262,AC-2c.,MA-4
263,AC-2d.,MA-4
264,AC-2e.,MA-4
265,AC-2f.,MA-4
266,AC-2g.,MA-4
267,AC-2h.1.,MA-4
268,AC-2h.2.,MA-4
269,AC-2h.3.,MA-4
270,AC-2i.1.,MA-4
271,AC-2i.2.,MA-4
272,AC-2i.3.,MA-4
273,AC-2j.,MA-4
274,AC-2k.,MA-4
275,AC-2a.,MA-5
276,AC-2b.,MA-5
277,AC-2c.,MA-5
278,AC-2d.,MA-5
279,AC-2e.,MA-5
280,AC-2f.,MA-5
281,AC-2g.,MA-5
282,AC-2h.1.,MA-5
283,AC-2h.2.,MA-5
284,AC-2h.3.,MA-5
285,AC-2i.1.,MA-5
286,AC-2i.2.,MA-5
287,AC-2i.3.,MA-5
288,AC-2j.,MA-5
289,AC-2k.,MA-5
290,AC-2a.,PL-4
291,AC-2b.,PL-4
292,AC-2c.,PL-4
293,AC-2d.,PL-4
294,AC-2e.,PL-4
295,AC-2f.,PL-4
296,AC-2g.,PL-4
297,AC-2h.1.,PL-4
298,AC-2h.2.,PL-4
299,AC-2h.3.,PL-4
300,AC-2i.1.,PL-4
301,AC-2i.2.,PL-4
302,AC-2i.3.,PL-4
303,AC-2j.,PL-4
304,AC-2k.,PL-4
305,AC-2a.,SC-13
306,AC-2b.,SC-13
307,AC-2c.,SC-13
308,AC-2d.,SC-13
309,AC-2e.,SC-13
310,AC-2f.,SC-13
311,AC-2g.,SC-13
312,AC-2h.1.,SC-13
313,AC-2h.2.,SC-13
314,AC-2h.3.,SC-13
315,AC-2i.1.,SC-13
316,AC-2i.2.,SC-13
317,AC-2i.3.,SC-13
318,AC-2j.,SC-13
319,AC-2k.,SC-13
320,AC-2 (4),AU-2
321,AC-2 (4),AU-12
322,AC-2 (5),SC-23
323,AC-2 (6),AC-16
324,AC-2 (8),AC-16
325,AC-2 (12)(a),CA-7
326,AC-2 (12)(b),CA-7
327,AC-2 (13),PS-4